symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
FLTR.L,537,0.7709,5.4356,0.8190,5.9553
AVT,1027,0.8238,0.0457,0.8232,4.9178
CAR,806,0.8362,0.0691,0.8217,4.9172
ETN,939,0.8360,0.0357,0.8226,4.8759
CLF,798,0.8246,0.0627,0.8227,4.8182
CAT,997,0.8144,0.0387,0.8236,4.8116
DIS,1011,0.8150,0.0384,0.8209,4.8072
VLO,915,0.8164,0.0482,0.8201,4.7858
CMI,814,0.8329,0.0412,0.8232,4.7852
AMD,1002,0.7874,0.0652,0.8244,4.7788
NUE,907,0.8192,0.0452,0.8193,4.7781
WDC,999,0.7878,0.0691,0.8201,4.7712
HAL,1043,0.8015,0.0458,0.8170,4.7601
TXN,1030,0.8049,0.0419,0.8176,4.7572
MU,830,0.8048,0.0670,0.8187,4.7263
AAPL,912,0.8026,0.0494,0.8214,4.7164
CRS,781,0.8233,0.0473,0.8201,4.7106
CBT,790,0.8278,0.0396,0.8201,4.7100
FDX,863,0.8169,0.0409,0.8187,4.7071
GT,1110,0.7829,0.0458,0.8178,4.6959
BC,854,0.8033,0.0511,0.8201,4.6749
R,873,0.8156,0.0396,0.8127,4.6674
LPX,958,0.7871,0.0488,0.8227,4.6622
AA,1080,0.7843,0.0424,0.8156,4.6576
HPQ,1045,0.7895,0.0403,0.8152,4.6550
MSI,935,0.7979,0.0415,0.8186,4.6539
DE,958,0.7975,0.0391,0.8161,4.6434
IP,1017,0.7945,0.0351,0.8149,4.6413
JWN,842,0.8040,0.0492,0.8157,4.6357
DINO,667,0.8246,0.0483,0.8241,4.6332
AOS,711,0.8214,0.0386,0.8266,4.6313
DD,918,0.8028,0.0364,0.8155,4.6297
F,984,0.7886,0.0433,0.8160,4.6275
GGG,662,0.8338,0.0360,0.8245,4.6275
MRK,883,0.8086,0.0313,0.8176,4.6255
MO,905,0.8077,0.0301,0.8162,4.6242
AMKR,576,0.8177,0.0794,0.8239,4.6233
MDT,757,0.8256,0.0344,0.8159,4.6201
GLW,842,0.8017,0.0429,0.8202,4.6195
BBY,811,0.7891,0.0590,0.8247,4.6173
AMAT,865,0.7988,0.0507,0.8127,4.6140
NVDA,596,0.8171,0.0726,0.8235,4.6134
RTX,917,0.8048,0.0323,0.8131,4.6088
WMB,838,0.8007,0.0476,0.8156,4.6061
WFC,885,0.8011,0.0372,0.8160,4.6021
CVS,741,0.8286,0.0337,0.8128,4.6016
PHM,871,0.7876,0.0500,0.8218,4.6014
WMT,926,0.7981,0.0338,0.8154,4.5961
MTZ,845,0.7822,0.0659,0.8173,4.5935
IPG,701,0.8217,0.0414,0.8190,4.5934
STT,733,0.8199,0.0396,0.8160,4.5894
BA,1061,0.7795,0.0371,0.8148,4.5892
LMT,877,0.7993,0.0341,0.8192,4.5889
JPM,759,0.8142,0.0380,0.8183,4.5879
WHR,774,0.8101,0.0399,0.8182,4.5855
CCK,727,0.8171,0.0410,0.8173,4.5809
JCI,688,0.8285,0.0369,0.8155,4.5784
TER,836,0.7895,0.0570,0.8153,4.5781
IBM,870,0.8046,0.0288,0.8166,4.5755
PPC,816,0.7880,0.0546,0.8207,4.5736
BDC,647,0.8114,0.0593,0.8216,4.5722
C,886,0.7946,0.0413,0.8139,4.5713
THO,715,0.8042,0.0477,0.8253,4.5711
HUM,879,0.7975,0.0418,0.8113,4.5697
TPL,705,0.8043,0.0420,0.8307,4.5664
OLN,758,0.8074,0.0422,0.8181,4.5654
CMC,768,0.8021,0.0448,0.8198,4.5651
URI,613,0.8206,0.0614,0.8163,4.5642
PVH,760,0.7947,0.0511,0.8232,4.5621
GD,849,0.8009,0.0335,0.8169,4.5611
VMC,696,0.8161,0.0377,0.8226,4.5603
CW,684,0.8246,0.0308,0.8216,4.5601
HD,776,0.8067,0.0401,0.8166,4.5600
LRCX,905,0.7757,0.0593,0.8149,4.5590
RCL,641,0.8175,0.0540,0.8182,4.5574
EQT,686,0.8163,0.0438,0.8187,4.5569
ASML.AS,513,0.8519,0.0538,0.8132,4.5565
